Set	Ontology	Term	Observed	Mean Expected N Genes	Enrichment	P Value	System
Altai	HPO	Myocardial infarction (HP:0001658)	1	0.2053	4.870920604	0.186281372	cardiovascular
Altai	HPO	Autosomal recessive inheritance (HP:0000007)	31	26.0112	1.191794304	0.186381362	other
Altai	HPO	Fine hair (HP:0002213)	2	0.7829	2.554604675	0.186981302	integumentary
Altai	HPO	Increased variability in muscle fiber diameter (HP:0003557)	1	0.2083	4.800768123	0.188381162	skeletal muscle
Altai	HPO	Elfin facies (HP:0004428)	1	0.2103	4.755111745	0.188981102	other
Altai	HPO	Gastrointestinal inflammation (HP:0004386)	1	0.2094	4.775549188	0.189481052	digestive
Altai	HPO	Inflammation of the large intestine (HP:0002037)	1	0.2094	4.775549188	0.189481052	digestive
Altai	HPO	Abnormality of skeletal muscle fiber size (HP:0012084)	1	0.212	4.716981132	0.191780822	skeletal muscle
Altai	HPO	Lipoatrophy (HP:0100578)	2	0.811	2.466091245	0.194280572	metabolic
Altai	HPO	Long nose (HP:0003189)	1	0.2145	4.662004662	0.195180482	skeletal
Altai	HPO	Hypotrichosis (HP:0001006)	1	0.2188	4.570383912	0.196380362	integumentary
Altai	HPO	Subcapsular cataract (HP:0000523)	1	0.2201	4.543389368	0.196780322	nervous
Altai	HPO	Hypoalphalipoproteinemia (HP:0003233)	1	0.2172	4.604051565	0.196880312	metabolic
Altai	HPO	Papillary thyroid carcinoma (HP:0002895)	1	0.2193	4.55996352	0.196880312	endocrine
Altai	HPO	Short palpebral fissure (HP:0012745)	1	0.2197	4.551661356	0.197780222	integumentary
Altai	HPO	Long face (HP:0000276)	3	1.5351	1.95427008	0.198380162	skeletal
Altai	HPO	Lymphangioma (HP:0100764)	1	0.2209	4.526935265	0.200279972	lymphatic
Altai	HPO	Abnormality of renin-angiotensin system (HP:0000847)	1	0.2225	4.494382022	0.200879912	other
Altai	HPO	Overriding aorta (HP:0002623)	1	0.2248	4.448398577	0.200979902	cardiovascular
Altai	HPO	Alkalosis (HP:0001948)	1	0.2282	4.382120947	0.203479652	other
Altai	HPO	Generalized amyotrophy (HP:0003700)	1	0.2259	4.426737494	0.204179582	nervous
Altai	HPO	Nephrolithiasis (HP:0000787)	2	0.8416	2.376425856	0.205379462	urinary
Altai	HPO	Cone-rod dystrophy (HP:0000548)	1	0.2309	4.330879168	0.205679432	nervous
Altai	HPO	Oligodontia (HP:0000677)	1	0.2338	4.277159966	0.206679332	skeletal
Altai	HPO	Nasolacrimal duct obstruction (HP:0000579)	1	0.2306	4.336513443	0.206779322	other
Altai	HPO	Multicystic kidney dysplasia (HP:0000003)	3	1.5852	1.892505678	0.210278972	urinary
Altai	HPO	Mask-like facies (HP:0000298)	1	0.238	4.201680672	0.211178882	other
Altai	HPO	Abnormality of purine metabolism (HP:0004352)	1	0.2414	4.142502071	0.214078592	metabolic
Altai	HPO	Abnormality of the tricuspid valve (HP:0001702)	1	0.2372	4.215851602	0.214278572	cardiovascular
Altai	HPO	Protuberant abdomen (HP:0001538)	1	0.2387	4.189359028	0.214278572	metabolic
Altai	HPO	Meckel diverticulum (HP:0002245)	1	0.2421	4.130524577	0.215278472	digestive
Altai	HPO	Hyperthyroidism (HP:0000836)	1	0.2457	4.07000407	0.216778322	endocrine
Altai	HPO	Mediastinal lymphadenopathy (HP:0100721)	1	0.2453	4.076640848	0.217078292	lymphatic
Altai	HPO	Short hallux (HP:0010109)	1	0.2444	4.091653028	0.217078292	skeletal
Altai	HPO	Cryptorchidism (HP:0000028)	9	6.5799	1.367801942	0.217778222	reproductive
Altai	HPO	Abnormality of the acetabulum (HP:0003170)	2	0.8853	2.259121202	0.218578142	skeletal
Altai	HPO	Platyspondyly (HP:0000926)	2	0.8777	2.278682921	0.220077992	skeletal
Altai	HPO	Blue sclerae (HP:0000592)	2	0.8877	2.253013405	0.221677832	integumentary
Altai	HPO	Difficulty running (HP:0009046)	1	0.2505	3.992015968	0.222977702	other
Altai	HPO	Abnormality of the preputium (HP:0100587)	1	0.2531	3.951007507	0.223077692	reproductive
Altai	HPO	Cellulitis (HP:0100658)	1	0.2541	3.935458481	0.223577642	integumentary
Altai	HPO	Chest pain (HP:0100749)	1	0.251	3.984063745	0.223777622	other
Altai	HPO	EEG with generalized epileptiform discharges (HP:0011198)	2	0.8809	2.270405267	0.223877612	nervous
Altai	HPO	Bell-shaped thorax (HP:0001591)	1	0.25	4	0.223977602	skeletal
Altai	HPO	Ectopia lentis (HP:0001083)	2	0.9033	2.214103841	0.225277472	nervous
Altai	HPO	Achilles tendon contracture (HP:0001771)	1	0.2561	3.904724717	0.225677432	skeletal muscle
Altai	HPO	Abnormality of the Achilles tendon (HP:0005109)	1	0.2561	3.904724717	0.225677432	skeletal muscle
Altai	HPO	Thin skin (HP:0000963)	2	0.8903	2.246433786	0.225777422	integumentary
Altai	HPO	Vitreoretinal degeneration (HP:0000655)	1	0.2525	3.96039604	0.226377362	nervous
Altai	HPO	Limb-girdle muscle weakness (HP:0003325)	1	0.2553	3.916960439	0.227277272	skeletal muscle
Altai	HPO	Hepatocellular carcinoma (HP:0001402)	1	0.2622	3.813882532	0.230376962	digestive
Altai	HPO	Dehydration (HP:0001944)	2	0.9157	2.184121437	0.233376662	other
Altai	HPO	Gingivitis (HP:0000230)	1	0.2681	3.729951511	0.233676632	other
Altai	HPO	Hyperkalemia (HP:0002153)	1	0.2713	3.685956506	0.236476352	other
Altai	HPO	Flat acetabular roof (HP:0003180)	1	0.2701	3.702332469	0.236776322	skeletal
Altai	HPO	Hypophosphatemia (HP:0002148)	1	0.2724	3.671071953	0.237476252	other
Altai	HPO	Melanoma (HP:0002861)	1	0.2727	3.66703337	0.238076192	integumentary
Altai	HPO	Osteomyelitis (HP:0002754)	1	0.2727	3.66703337	0.238676132	skeletal
Altai	HPO	Aplasia/Hypoplasia of the macula (HP:0008059)	1	0.2725	3.669724771	0.238976102	nervous
Altai	HPO	Hypertriglyceridemia (HP:0002155)	1	0.2736	3.65497076	0.241475852	metabolic
Altai	HPO	Aplasia/Hypoplasia affecting the retina (HP:0008061)	1	0.2762	3.620564808	0.242075792	nervous
Altai	HPO	Hypolipoproteinemia (HP:0010981)	1	0.2778	3.599712023	0.243075692	metabolic
Altai	HPO	Aplasia/Hypoplasia of the phalanges of the thumb (HP:0009658)	1	0.2778	3.599712023	0.243975602	skeletal
Altai	HPO	Neoplasm of the colon (HP:0100273)	1	0.2804	3.566333809	0.244575542	digestive
Altai	HPO	Prenatal maternal abnormality (HP:0002686)	1	0.2777	3.601008282	0.245275472	reproductive
Altai	HPO	Aplasia/Hypoplasia of the hallux (HP:0008362)	1	0.2813	3.554923569	0.246175382	skeletal
Altai	HPO	Abnormality of chromosome stability (HP:0003220)	1	0.2858	3.498950315	0.248275172	other
Altai	HPO	Intestinal polyposis (HP:0200008)	1	0.2863	3.492839679	0.248475152	digestive
Altai	HPO	Fair hair (HP:0002286)	1	0.2875	3.47826087	0.249875012	integumentary
Altai	HPO	Recurrent pneumonia (HP:0006532)	1	0.2841	3.519887364	0.250174983	immune
Altai	HPO	Bladder diverticulum (HP:0000015)	1	0.2901	3.447087211	0.250974903	urinary
Altai	HPO	Opacification of the corneal stroma (HP:0007759)	3	1.727	1.737116387	0.250974903	nervous
Altai	HPO	Fasciculations (HP:0002380)	1	0.2884	3.46740638	0.251674833	skeletal muscle
Altai	HPO	Eosinophilia (HP:0001880)	1	0.2886	3.465003465	0.252374763	hematologic
Altai	HPO	"Low-set, posteriorly rotated ears (HP:0000368)"	8	5.9901	1.335536969	0.252874713	other
Altai	HPO	Abnormality of the musculature of the hand (HP:0001421)	1	0.2974	3.362474781	0.256374363	skeletal muscle
Altai	HPO	Myelomeningocele (HP:0002475)	1	0.2948	3.392130258	0.256474353	nervous
Altai	HPO	Intestinal polyp (HP:0005266)	1	0.2977	3.359086329	0.256674333	digestive
Altai	HPO	Vertebral fusion (HP:0002948)	1	0.2994	3.34001336	0.257274273	skeletal
Altai	HPO	Venous insufficiency (HP:0005293)	1	0.2947	3.393281303	0.257674233	cardiovascular
Altai	HPO	Midline defect of the nose (HP:0004122)	1	0.2973	3.363605785	0.257874213	other
Altai	HPO	Capillary hemangiomas (HP:0005306)	1	0.2969	3.36813742	0.258374163	cardiovascular
Altai	HPO	Polar cataract (HP:0010696)	1	0.3032	3.298153034	0.258674133	nervous
Altai	HPO	Deeply set eye (HP:0000490)	3	1.7664	1.698369565	0.258674133	nervous
Altai	HPO	Constricted visual fields (HP:0001133)	2	0.9814	2.037905034	0.259574043	nervous
Altai	HPO	Hypopigmented skin patches (HP:0001053)	2	0.9795	2.041858091	0.260073993	integumentary
Altai	HPO	Pulmonary hypoplasia (HP:0002089)	2	0.9892	2.021835827	0.260373963	respiratory
Altai	HPO	Aplasia/Hypoplasia of the uvula (HP:0010293)	1	0.3013	3.318951211	0.260773923	skeletal
Altai	HPO	Abnormality of the calf musculature (HP:0001430)	1	0.3022	3.309066843	0.261673833	skeletal muscle
Altai	HPO	Abnormality of the foot musculature (HP:0001436)	1	0.301	3.322259136	0.263173683	skeletal muscle
Altai	HPO	Foot dorsiflexor weakness (HP:0009027)	1	0.301	3.322259136	0.263173683	skeletal muscle
Altai	HPO	Granulocytopenia (HP:0001913)	1	0.3026	3.304692664	0.263473653	immune
Altai	HPO	Aplasia/Hypoplasia of the sternum (HP:0006714)	1	0.3052	3.276539974	0.264473553	skeletal
Altai	HPO	Torticollis (HP:0000473)	1	0.307	3.25732899	0.265173483	skeletal
Altai	HPO	Abnormality of the ileum (HP:0001549)	1	0.31	3.225806452	0.265473453	digestive
Altai	HPO	Aggressive behavior (HP:0000718)	2	1.0069	1.986294567	0.267573243	behavior
Altai	HPO	Conical tooth (HP:0000698)	1	0.3099	3.22684737	0.268573143	skeletal
Altai	HPO	Generalized hypopigmentation (HP:0007513)	1	0.3141	3.183699459	0.268573143	integumentary
Altai	HPO	Abnormality of the level of lipoprotein cholesterol (HP:0010979)	1	0.3132	3.19284802	0.269073093	metabolic
Altai	HPO	Insulin resistance (HP:0000855)	1	0.3127	3.19795331	0.269273073	metabolic
Altai	HPO	Ketosis (HP:0001946)	1	0.3149	3.175611305	0.269473053	metabolic
Altai	HPO	Flat cornea (HP:0007720)	1	0.316	3.164556962	0.270972903	nervous
Altai	HPO	Cutaneous photosensitivity (HP:0000992)	1	0.3167	3.157562362	0.271372863	integumentary
Altai	HPO	Severe short stature (HP:0003510)	1	0.3171	3.153579313	0.273172683	skeletal
Altai	HPO	Coxa vara (HP:0002812)	1	0.3181	3.143665514	0.273472653	skeletal
Altai	HPO	Clitoromegaly (HP:0000057)	1	0.3198	3.126954346	0.274772523	reproductive
Altai	HPO	Tetraplegia (HP:0002445)	1	0.3221	3.104625893	0.275872413	nervous
Altai	HPO	Focal dystonia (HP:0004373)	1	0.3225	3.100775194	0.276872313	nervous
Altai	HPO	Craniofacial dystonia (HP:0012179)	1	0.3225	3.100775194	0.276872313	skeletal muscle
Altai	HPO	Hypercalcemia (HP:0003072)	1	0.3269	3.059039462	0.278372163	other
Altai	HPO	Generalized hypopigmentation of hair (HP:0011358)	1	0.328	3.048780488	0.278772123	integumentary
Altai	HPO	Cheekbone underdevelopment (HP:0010669)	2	1.0456	1.912777353	0.279572043	skeletal
Altai	HPO	Radial deviation of finger (HP:0009466)	6	4.4071	1.361439495	0.281071893	skeletal
Altai	HPO	Sacral dimple (HP:0000960)	2	1.0539	1.897713256	0.281871813	integumentary
Altai	HPO	Bone marrow hypocellularity (HP:0005528)	1	0.3362	2.974419988	0.282571743	other
Altai	HPO	Progressive neurologic deterioration (HP:0002344)	2	1.0529	1.899515624	0.286871313	nervous
Altai	HPO	Epileptiform EEG discharges (HP:0011182)	2	1.0563	1.893401496	0.287871213	nervous
Altai	HPO	Cardiomegaly (HP:0001640)	1	0.3398	2.942907593	0.289571043	cardiovascular
Altai	HPO	Pectus excavatum (HP:0000767)	3	1.8814	1.594557245	0.291970803	skeletal
Altai	HPO	Mucosal telangiectasiae (HP:0100579)	1	0.3399	2.942041777	0.292270773	integumentary
Altai	HPO	Constipation (HP:0002019)	4	2.7473	1.455974957	0.292370763	digestive
Altai	HPO	Thyroiditis (HP:0100646)	1	0.3501	2.856326764	0.297470253	endocrine
Altai	HPO	Choanal stenosis (HP:0000452)	1	0.3497	2.859593938	0.297470253	respiratory
Altai	HPO	Coxa valga (HP:0002673)	1	0.3551	2.816108139	0.298170183	skeletal
Altai	HPO	Tracheoesophageal fistula (HP:0002575)	2	1.0993	1.81933958	0.298570143	respiratory
Altai	HPO	Kyphoscoliosis (HP:0002751)	2	1.0883	1.837728567	0.298870113	skeletal
Altai	HPO	Dry skin (HP:0000958)	2	1.0888	1.836884644	0.299270073	integumentary
Altai	HPO	Telecanthus (HP:0000506)	3	1.9045	1.575216592	0.299470053	skeletal
Altai	HPO	Hip contracture (HP:0003273)	1	0.3549	2.817695125	0.299670033	skeletal muscle
Altai	HPO	Abnormality of the diencephalon (HP:0010662)	1	0.3565	2.805049088	0.299870013	nervous
Altai	HPO	Abnormality of eosinophils (HP:0001879)	1	0.3535	2.828854314	0.300069993	hematologic
Altai	HPO	Bowel diverticulosis (HP:0005222)	1	0.3617	2.764722145	0.300469953	digestive
Altai	HPO	Absence seizures (HP:0002121)	1	0.3581	2.792516057	0.301569843	nervous
Altai	HPO	Wide intermamillary distance (HP:0006610)	1	0.3601	2.777006387	0.302669733	reproductive
Altai	HPO	Acanthosis nigricans (HP:0000956)	1	0.3572	2.799552072	0.304169583	integumentary
Altai	HPO	Xerostomia (HP:0000217)	1	0.3581	2.792516057	0.304569543	digestive
Altai	HPO	Abnormality of the endocardium (HP:0004306)	1	0.3626	2.757859901	0.305369463	cardiovascular
Altai	HPO	Skin ulcer (HP:0200042)	2	1.1092	1.803101334	0.306469353	integumentary
Altai	HPO	Abnormality of the peritoneum (HP:0002585)	1	0.3698	2.704164413	0.308069193	digestive
Altai	HPO	Hypercalciuria (HP:0002150)	1	0.363	2.754820937	0.308369163	other
Altai	HPO	Recurrent urinary tract infections (HP:0000010)	2	1.1161	1.791954126	0.309069093	immune
Altai	HPO	Cleft eyelid (HP:0000625)	1	0.3714	2.692514809	0.309069093	integumentary
Altai	HPO	Abnormality of pyrimidine metabolism (HP:0004353)	1	0.3673	2.722570106	0.309669033	metabolic
Altai	HPO	Tubulointerstitial abnormality (HP:0001969)	1	0.377	2.652519894	0.309769023	urinary
Altai	HPO	High palate (HP:0000218)	4	2.8201	1.418389419	0.310568943	skeletal
Altai	HPO	Delayed gross motor development (HP:0002194)	2	1.1179	1.78906879	0.311068893	nervous
Altai	HPO	Lower limb muscle weakness (HP:0007340)	1	0.3714	2.692514809	0.311668833	skeletal muscle
Altai	HPO	Abdominal distention (HP:0003270)	1	0.373	2.680965147	0.313368663	other
Altai	HPO	Congenital primary aphakia (HP:0007707)	1	0.3792	2.637130802	0.314368563	nervous
Altai	HPO	Scapular winging (HP:0003691)	1	0.3804	2.628811777	0.314668533	skeletal
Altai	HPO	Posterior embryotoxon (HP:0000627)	1	0.3785	2.642007926	0.315268473	nervous
Altai	HPO	Tracheal stenosis (HP:0002777)	1	0.379	2.638522427	0.315568443	respiratory
Altai	HPO	Abnormality of hair growth rate (HP:0011363)	1	0.3753	2.664535039	0.315668433	integumentary
Altai	HPO	Slow-growing hair (HP:0002217)	1	0.3753	2.664535039	0.315668433	integumentary
Altai	HPO	Infantile onset (HP:0003593)	5	3.726	1.341921632	0.317868213	other
Altai	HPO	Restrictive lung disease (HP:0002091)	1	0.3803	2.629503024	0.318668133	respiratory
Altai	HPO	Aortic aneurysm (HP:0004942)	1	0.3861	2.59000259	0.321167883	cardiovascular
Altai	HPO	Long eyelashes (HP:0000527)	1	0.3815	2.621231979	0.323467653	integumentary
Altai	HPO	EMG: myopathic abnormalities (HP:0003458)	1	0.3888	2.572016461	0.323467653	nervous
Altai	HPO	Skin rash (HP:0000988)	1	0.396	2.525252525	0.323567643	immune
Altai	HPO	Abnormal lung lobation (HP:0002101)	1	0.3843	2.60213375	0.323567643	respiratory
Altai	HPO	Anophthalmia (HP:0000528)	1	0.4007	2.495632643	0.328967103	nervous
Altai	HPO	Clinodactyly of the 5th finger (HP:0004209)	5	3.8013	1.315339489	0.330266973	skeletal
Altai	HPO	Urticaria (HP:0001025)	1	0.3982	2.511300854	0.331866813	immune
Altai	HPO	Tachypnea (HP:0002789)	1	0.4049	2.469745616	0.332066793	respiratory
Altai	HPO	Corneal erosion (HP:0200020)	1	0.4004	2.497502498	0.332366763	nervous
Altai	HPO	Thyroid carcinoma (HP:0002890)	1	0.4029	2.48200546	0.333766623	endocrine
Altai	HPO	Gait imbalance (HP:0002141)	1	0.4131	2.420721375	0.335566443	nervous
Altai	HPO	Everted lower lip vermilion (HP:0000232)	2	1.1892	1.681802893	0.336966303	integumentary
Altai	HPO	Hirsutism (HP:0001007)	2	1.196	1.672240803	0.340265973	integumentary
Altai	HPO	Congenital hip dislocation (HP:0001374)	1	0.4177	2.394062724	0.340365963	skeletal
Altai	HPO	Wide nose (HP:0000445)	1	0.4155	2.406738869	0.340765923	skeletal
Altai	HPO	Increased nuchal translucency (HP:0010880)	1	0.4233	2.362390739	0.341465853	other
Altai	HPO	Attenuation of retinal blood vessels (HP:0007843)	2	1.2301	1.625884074	0.343165683	cardiovascular
Altai	HPO	Abnormality of the line of Schwalbe (HP:0008048)	1	0.4229	2.364625207	0.345565443	nervous
Altai	HPO	Optic atrophy (HP:0000648)	7	5.6985	1.228393437	0.346165383	nervous
Altai	HPO	Bifid tongue (HP:0010297)	1	0.4237	2.360160491	0.346465353	other
Altai	HPO	Bradycardia (HP:0001662)	1	0.4266	2.344116268	0.346465353	cardiovascular
Altai	HPO	Blue irides (HP:0000635)	1	0.4283	2.334812048	0.347765223	integumentary
Altai	HPO	Severe Myopia (HP:0011003)	1	0.4294	2.328830927	0.347865213	nervous
Altai	HPO	Short foot (HP:0001773)	2	1.2124	1.649620587	0.348065193	skeletal
Altai	HPO	Wormian bones (HP:0002645)	1	0.4306	2.32234092	0.348565143	skeletal
Altai	HPO	High pitched voice (HP:0001620)	1	0.4316	2.316960148	0.349065093	other
Altai	HPO	Abnormal social behavior (HP:0012433)	2	1.2264	1.630789302	0.350964904	behavior
Altai	HPO	Impaired social interactions (HP:0000735)	2	1.2264	1.630789302	0.350964904	behavior
Altai	HPO	Abnormality of the pupil (HP:0000615)	1	0.4333	2.307869836	0.351664834	nervous
Altai	HPO	Respiratory failure (HP:0002878)	1	0.4311	2.319647414	0.351764824	respiratory
Altai	HPO	Abnormality of the pleura (HP:0002103)	1	0.4302	2.324500232	0.354064594	respiratory
Altai	HPO	Scrotal hypoplasia (HP:0000046)	1	0.4323	2.31320842	0.354764524	reproductive
Altai	HPO	Short thumb (HP:0009778)	1	0.4453	2.245677072	0.356664334	skeletal
Altai	HPO	Testicular neoplasm (HP:0010788)	1	0.442	2.262443439	0.358564144	reproductive
Altai	HPO	Megalocornea (HP:0000485)	1	0.4525	2.209944751	0.358864114	nervous
Altai	HPO	Medial flaring of the eyebrow (HP:0010747)	1	0.4478	2.233139795	0.359564044	integumentary
Altai	HPO	Abnormality of the clitoris (HP:0000056)	1	0.4387	2.279462047	0.359864014	reproductive
Altai	HPO	Meningitis (HP:0001287)	1	0.4525	2.209944751	0.362763724	nervous
Altai	HPO	Venous abnormality (HP:0002624)	1	0.4455	2.244668911	0.362963704	cardiovascular
Altai	HPO	Bone pain (HP:0002653)	1	0.4535	2.205071665	0.363363664	skeletal
Altai	HPO	Dialeptic seizures (HP:0011146)	1	0.4544	2.200704225	0.363463654	nervous
Altai	HPO	Male pseudohermaphroditism (HP:0000037)	1	0.4515	2.214839424	0.366363364	reproductive
Altai	HPO	Molar tooth sign on MRI (HP:0002419)	1	0.462	2.164502165	0.370462954	nervous
Altai	HPO	Abnormality of midbrain morphology (HP:0002418)	1	0.462	2.164502165	0.370462954	nervous
Altai	HPO	Bifid uvula (HP:0000193)	1	0.4613	2.16778669	0.371762824	other
Altai	HPO	Clubbing of toes (HP:0100760)	1	0.4703	2.12630236	0.372162784	integumentary
Altai	HPO	Downturned corners of mouth (HP:0002714)	2	1.2997	1.53881665	0.372162784	skeletal muscle
Altai	HPO	Polycystic kidney dysplasia (HP:0000113)	2	1.3047	1.532919445	0.373762624	urinary
Altai	HPO	Astigmatism (HP:0000483)	2	1.3076	1.529519731	0.374162584	nervous
Altai	HPO	Coarse hair (HP:0002208)	1	0.4666	2.143163309	0.376762324	integumentary
Altai	HPO	Neonatal death (HP:0003811)	1	0.4742	2.108814846	0.378162184	other
Altai	HPO	Arnold-Chiari malformation (HP:0002308)	1	0.4679	2.137208805	0.379862014	skeletal
Altai	HPO	Aplasia/Hypoplasia affecting the fundus (HP:0008057)	1	0.4812	2.078137988	0.381361864	nervous
Altai	HPO	Neonatal hypotonia (HP:0001319)	2	1.3155	1.520334474	0.382261774	skeletal muscle
Altai	HPO	Sudden death (HP:0001699)	1	0.4798	2.084201751	0.382661734	other
Altai	HPO	Lack of skin elasticity (HP:0100679)	1	0.4932	2.02757502	0.384761524	integumentary
Altai	HPO	Anxiety (HP:0000739)	1	0.4848	2.062706271	0.386061394	behavior
Altai	HPO	Abnormality of the shoulder girdle musculature (HP:0001435)	1	0.4932	2.02757502	0.387361264	skeletal muscle
Altai	HPO	Hyperbilirubinemia (HP:0002904)	1	0.4855	2.059732235	0.390460954	digestive
Altai	HPO	Absent toe (HP:0010760)	1	0.5016	1.993620415	0.393960604	skeletal
Altai	HPO	Hypergonadotropic hypogonadism (HP:0000815)	1	0.5012	1.995211492	0.395160484	endocrine
Altai	HPO	Vasculitis (HP:0002633)	1	0.4975	2.010050251	0.397860214	cardiovascular
Altai	HPO	Pachygyria (HP:0001302)	1	0.5109	1.957330202	0.398860114	nervous
Altai	HPO	Bicornuate uterus (HP:0000813)	1	0.5039	1.984520738	0.398860114	reproductive
Altai	HPO	Gonadal dysgenesis (HP:0000133)	1	0.5073	1.971220185	0.399060094	other
Altai	HPO	Aplasia/Hypoplasia of the thymus (HP:0010515)	1	0.5093	1.963479285	0.400359964	lymphatic
Altai	HPO	Myelodysplasia (HP:0002863)	1	0.5073	1.971220185	0.400459954	hematologic
Altai	HPO	Poor coordination (HP:0002370)	1	0.5143	1.944390434	0.402459754	nervous
Altai	HPO	Ventricular tachycardia (HP:0004756)	1	0.5057	1.97745699	0.402559744	cardiovascular
Altai	HPO	Aplasia/Hypoplasia involving the pelvis (HP:0009103)	1	0.5168	1.93498452	0.403259674	skeletal
Altai	HPO	Hypohidrosis (HP:0000966)	1	0.5213	1.91828122	0.403259674	endocrine
Altai	HPO	Arteriovenous malformation (HP:0100026)	1	0.5238	1.90912562	0.408559144	cardiovascular
Altai	HPO	Rhizomelia (HP:0008905)	1	0.5228	1.912777353	0.410458954	skeletal muscle
Altai	HPO	Widely spaced teeth (HP:0000687)	1	0.5377	1.859773108	0.411458854	skeletal
Altai	HPO	Meningocele (HP:0002435)	1	0.5301	1.886436521	0.413058694	nervous
Altai	HPO	Macroglossia (HP:0000158)	1	0.5393	1.854255516	0.415658434	other
Altai	HPO	Incomplete penetrance (HP:0003829)	2	1.4203	1.408153207	0.416258374	other
Altai	HPO	Arachnodactyly (HP:0001166)	2	1.4418	1.387154945	0.420057994	skeletal
Altai	HPO	Neoplasm of the thyroid gland (HP:0100031)	1	0.5498	1.818843216	0.424557544	endocrine
Altai	HPO	Inguinal hernia (HP:0000023)	2	1.4452	1.383891503	0.424757524	digestive
Altai	HPO	Prolonged QT interval (HP:0001657)	1	0.5563	1.797591228	0.424857514	cardiovascular
Altai	HPO	Facial cleft (HP:0002006)	1	0.565	1.769911504	0.429257074	other
Altai	HPO	Dental malocclusion (HP:0000689)	2	1.4607	1.369206545	0.429357064	skeletal
Altai	HPO	Gynecomastia (HP:0000771)	1	0.5604	1.784439686	0.430656934	endocrine
Altai	HPO	Protruding ear (HP:0000411)	1	0.5652	1.769285209	0.434756524	other
Altai	HPO	Hypoplastic toenails (HP:0001800)	1	0.5755	1.737619461	0.435256474	integumentary
Altai	HPO	Cutaneous finger syndactyly (HP:0010554)	1	0.5677	1.761493747	0.435356464	integumentary
Altai	HPO	Cellular immunodeficiency (HP:0005374)	1	0.5712	1.75070028	0.436756324	immune
Altai	HPO	Cutaneous syndactyly (HP:0012725)	1	0.5756	1.737317582	0.439356064	integumentary
Altai	HPO	Specific learning disability (HP:0001328)	1	0.5875	1.70212766	0.442555744	other
Altai	HPO	Preaxial foot polydactyly (HP:0001841)	1	0.5877	1.701548409	0.444655534	skeletal
Altai	HPO	Portal hypertension (HP:0001409)	1	0.585	1.709401709	0.445455454	cardiovascular
Altai	HPO	Atresia of the external auditory canal (HP:0000413)	1	0.5918	1.689760054	0.445455454	nervous
Altai	HPO	Sudden cardiac death (HP:0001645)	2	1.5121	1.322663845	0.448355164	cardiovascular
Altai	HPO	Lymphedema (HP:0001004)	1	0.5897	1.695777514	0.450854915	lymphatic
Altai	HPO	Adducted thumb (HP:0001181)	1	0.6081	1.644466371	0.452054795	skeletal
Altai	HPO	Leiomyosarcoma (HP:0100243)	1	0.6076	1.645819618	0.452654735	skeletal muscle
Altai	HPO	Uterine leiomyosarcoma (HP:0002891)	1	0.6076	1.645819618	0.452654735	reproductive
Altai	HPO	Abnormality of the hepatic vasculature (HP:0006707)	1	0.6019	1.661405549	0.455154485	skeletal muscle
Altai	HPO	Neoplasm of the liver (HP:0002896)	1	0.6112	1.636125654	0.455254475	digestive
Altai	HPO	Polyhydramnios (HP:0001561)	2	1.5277	1.309157557	0.455454455	reproductive
Altai	HPO	Cranial hyperostosis (HP:0004437)	1	0.6113	1.635858008	0.456354365	skeletal
Altai	HPO	Depressed nasal bridge (HP:0005280)	5	4.427	1.129433025	0.457354265	skeletal
Altai	HPO	Elbow flexion contracture (HP:0002987)	1	0.608	1.644736842	0.457754225	skeletal
Altai	HPO	Goiter (HP:0000853)	1	0.6117	1.634788295	0.458454155	endocrine
Altai	HPO	Oculomotor apraxia (HP:0000657)	1	0.6147	1.626809826	0.459254075	nervous
Altai	HPO	Small intestinal stenosis (HP:0012848)	1	0.6133	1.630523398	0.459554045	digestive
Altai	HPO	Duodenal stenosis (HP:0100867)	1	0.6133	1.630523398	0.459554045	digestive
Altai	HPO	Ectopic anus (HP:0004397)	1	0.6227	1.605909748	0.463053695	digestive
Altai	HPO	Abnormality involving the epiphyses of the lower limbs (HP:0006500)	1	0.6206	1.611343861	0.463053695	skeletal
Altai	HPO	Abnormality of femoral epiphyses (HP:0006499)	1	0.6206	1.611343861	0.463053695	skeletal
Altai	HPO	Spina bifida occulta (HP:0003298)	1	0.6251	1.599744041	0.463553645	skeletal
Altai	HPO	Hereditary nonpolyposis colorectal carcinoma (HP:0006716)	1	0.6277	1.593117731	0.464753525	digestive
Altai	HPO	Camptodactyly of toe (HP:0001836)	1	0.6319	1.582528881	0.466953305	skeletal
Altai	HPO	Polymicrogyria (HP:0002126)	1	0.63	1.587301587	0.468453155	nervous
Altai	HPO	Hypermelanotic macule (HP:0001034)	1	0.6288	1.590330789	0.470552945	integumentary
Altai	HPO	Aplasia/Hypoplasia of the earlobes (HP:0009906)	1	0.6303	1.586546089	0.471452855	integumentary
Altai	HPO	Delayed skeletal maturation (HP:0002750)	3	2.5736	1.165682313	0.473052695	skeletal
Altai	HPO	Focal seizures (HP:0007359)	1	0.6417	1.558360605	0.475452455	nervous
Altai	HPO	Narrow chest (HP:0000774)	2	1.6013	1.2489852	0.476852315	skeletal
Altai	HPO	Generalized tonic-clonic seizures (HP:0002069)	1	0.6556	1.525320317	0.480051995	nervous
