GWAS_term	system
GWAS: Endometriosis	reproductive
GWAS: Energy expenditure (24h)	behavior
GWAS: Entorhinal cortical thickness	nervous
GWAS: Eosinophil counts	immune
GWAS: Eosinophil percentage of granulocytes	immune
GWAS: Eosinophil percentage of white cells	immune
GWAS: Eosinophilic esophagitis	immune
GWAS: Epilepsy	nervous
GWAS: Epilepsy and lamotrigine-induced maculopapular eruptions	nervous
GWAS: Epithelial ovarian cancer	reproductive
GWAS: Epstein-Barr virus copy number in lymphoblastoid cell lines	immune
GWAS: Epstein-Barr virus immune response (EBNA-1)	immune
GWAS: Erectile dysfunction	reproductive
GWAS: Erectile dysfunction and prostate cancer treatment	reproductive
GWAS: Erectile dysfunction in type 1 diabetes	reproductive
GWAS: Erosive tooth wear (severe vs non-severe)	skeletal
GWAS: Erosive tooth wear (severe vs none or mild)	skeletal
GWAS: Erythema nodosum in inflammatory bowel disease	integumentary
GWAS: Erythrocyte cadmium concentration	hematologic
GWAS: Erythrocyte cadmium concentration in never smokers	hematologic
GWAS: Erythrocyte sedimentation rate	hematologic
GWAS: Esophageal adenocarcinoma	digestive
GWAS: Esophageal adenocarcinoma x gastroesophageal reflux disease interaction	digestive
GWAS: Esophageal cancer	digestive
GWAS: Esophageal cancer (squamous cell)	digestive
GWAS: Esophageal squamous cell carcinoma	digestive
GWAS: Essential tremor	nervous
GWAS: Estradiol levels	endocrine
GWAS: Estrone/androstenedione ratio in resected early stage-receptor positive breast cancer	endocrine
GWAS: Event free survival in diffuse large B-cell lymphoma treated with immunochemotherapy	other
GWAS: Ewing sarcoma	skeletal
GWAS: Excessive daytime sleepiness	behavior
GWAS: Excessive hairiness	integumentary
GWAS: Exhaled carbon monoxide levels in smokers with chronic obstructive pulmonary disease	respiratory
GWAS: Exhaled nitric oxide levels	respiratory
GWAS: Exhaled nitric oxide output	respiratory
GWAS: Experiencing mood swings	behavior
GWAS: Exploratory eye movement dysfunction in schizophrenia (cognitive search score)	nervous
GWAS: Exploratory eye movement dysfunction in schizophrenia (responsive search score)	nervous
GWAS: Extraversion	behavior
GWAS: Extremely high intelligence	other
GWAS: Exudative age-related macular degeneration	nervous
GWAS: Eye color	integumentary
GWAS: Eye color traits	integumentary
GWAS: Eye morphology	nervous
GWAS: Eyebrow thickness	integumentary
GWAS: F-cell distribution	hematologic
GWAS: Facial emotion recognition	nervous
GWAS: Facial emotion recognition (sad faces)	nervous
GWAS: Facial morphology	skeletal
GWAS: Facial pigmentation	integumentary
GWAS: Factor VII	hematologic
GWAS: Familial lung adenocarcinoma	respiratory
GWAS: Familial lung cancer	respiratory
GWAS: Familial squamous cell lung carcinoma	respiratory
GWAS: Fast beta electroencephalogram	nervous
GWAS: Fasting blood glucose	metabolic
GWAS: Fasting blood glucose (BMI interaction)	metabolic
GWAS: Fasting blood insulin	metabolic
GWAS: Fasting blood insulin (BMI interaction)	metabolic
GWAS: Fasting insulin (dietary factor interaction)	metabolic
GWAS: Fasting plasma glucose	metabolic
GWAS: Fat distribution (HIV)	metabolic
GWAS: Febrile seizures	nervous
GWAS: Febrile seizures (MMR vaccine-related)	nervous
GWAS: Feeling fed-up	behavior
GWAS: Feeling guilty	behavior
GWAS: Feeling hurt	behavior
GWAS: Feeling lonely	behavior
GWAS: Feeling miserable	behavior
GWAS: Feeling nervous	behavior
GWAS: Feeling tense	behavior
GWAS: Feeling worry	behavior
GWAS: Femoral neck bone mineral density	skeletal
GWAS: Fibrinogen	hematologic
GWAS: Fibrinogen levels	hematologic
GWAS: Folate pathway vitamin levels	other
GWAS: Follicular lymphoma	lymphatic
GWAS: Food addiction	behavior
GWAS: Food allergy	immune
GWAS: Food allergy (maternal genetic effects)	immune
GWAS: Food allergy (parent-of-origin effect)	immune
GWAS: Food antigen IgG levels	immune
GWAS: Forced expiratory volume in 1 second (occupational environmental exposures interaction)	respiratory
GWAS: Forehead morphology	skeletal
GWAS: Formal thought disorder in schizophrenia	nervous
GWAS: Fractional excretion of metabolites in chronic kidney disease	urinary
GWAS: Fractional exhaled nitric oxide (childhood)	respiratory
GWAS: Fractional shortening	cardiovascular
GWAS: Fractures	skeletal
GWAS: Freckles	integumentary
GWAS: Free cholesterol levels in large LDL	metabolic
GWAS: Free thyroxine concentration	endocrine
GWAS: Frontotemporal dementia	nervous
GWAS: Frontotemporal dementia (age at onset)	nervous
GWAS: Frontotemporal dementia with GRN mutation	nervous
GWAS: Frontotemporal dementia with GRN mutation (age at onset)	nervous
GWAS: Fuchs's corneal dystrophy	nervous
"GWAS: Functional impairment in major depressive disorder, bipolar disorder and schizophrenia"	nervous
GWAS: GIP levels in response to oral glucose tolerance test (120 minutes)	metabolic
GWAS: GLP-1 levels in response to oral glucose tolerance test (fasting)	metabolic
GWAS: Gait speed in old age	other
GWAS: Gallstone disease	digestive
GWAS: Gambling	behavior
GWAS: Gamma glutamyl transferase levels	other
GWAS: Gamma glutamyl transpeptidase	other
GWAS: Gastric adenocarcinoma (histologically verified)	digestive
GWAS: Gastric cancer	digestive
GWAS: Gastroesophageal reflux disease	digestive
GWAS: General cognitive ability	nervous
GWAS: Generalized epilepsy	nervous
GWAS: Gestational age at birth (maternal effect)	reproductive
GWAS: Giant cell arteritis	cardiovascular
GWAS: Glaucoma	nervous
GWAS: Glaucoma (primary angle closure)	nervous
GWAS: Glaucoma (primary open-angle)	nervous
GWAS: Glioblastoma	nervous
GWAS: Glioblastoma (age-stratified)	nervous
GWAS: Glioma	nervous
GWAS: Global electrical heterogeneity phenotypes	cardiovascular
GWAS: Glomerular filtration rate	hematologic
GWAS: Glomerular filtration rate (creatinine)	hematologic
GWAS: Glomerular filtration rate (cystatin C)	hematologic
GWAS: Glomerular filtration rate change in heart transplantation	hematologic
GWAS: Glomerular filtration rate in chronic kidney disease	hematologic
GWAS: Glomerular filtration rate in non diabetics (creatinine)	hematologic
GWAS: Glucocorticoid-induced osteonecrosis	other
GWAS: Glucocorticoid-induced osteonecrosis (age 10 years and older)	other
GWAS: Glucose homeostasis traits	metabolic
GWAS: Glycated hemoglobin levels	metabolic
GWAS: Glycemic traits	metabolic
GWAS: Glycemic traits (pregnancy)	metabolic
GWAS: Glycerophospholipid levels	metabolic
GWAS: Gout	skeletal
GWAS: Granulocyte count	immune
GWAS: Granulocyte percentage of myeloid white cells	immune
GWAS: Graves' disease	endocrine
GWAS: Gut microbiota (bacterial taxa)	digestive
GWAS: Gut microbiota (beta diversity)	digestive
GWAS: Gut microbiota (functional units)	digestive
GWAS: HDL Cholesterol - Triglycerides (HDLC-TG)	metabolic
GWAS: HDL cholesterol	metabolic
GWAS: HDL cholesterol change in response to fenofibrate in statin-treated type 2 diabetes	metabolic
GWAS: HDL cholesterol levels	metabolic
GWAS: HIV-1 control	immune
GWAS: HIV-1 susceptibility	immune
GWAS: HIV-1 viral setpoint	immune
GWAS: Hair color	integumentary
GWAS: Hair greying	integumentary
GWAS: Hair morphology	integumentary
GWAS: Hair shape	integumentary
GWAS: Hand grip strength	skeletal muscle
GWAS: Headache	nervous
GWAS: Hearing function	nervous
GWAS: Heart failure	cardiovascular
GWAS: Heart rate	cardiovascular
GWAS: Heart rate increase in response to exercise	cardiovascular
GWAS: Heart rate response to exercise	cardiovascular
GWAS: Heart rate response to recovery post exercise	cardiovascular
GWAS: Heart rate response to recovery post exercise (10 sec)	cardiovascular
GWAS: Heart rate response to recovery post exercise (20 sec)	cardiovascular
GWAS: Heart rate response to recovery post exercise (30 sec)	cardiovascular
GWAS: Heart rate response to recovery post exercise (40 sec)	cardiovascular
GWAS: Heart rate response to recovery post exercise (50 sec)	cardiovascular
GWAS: Heart rate variability traits (RMSSD)	cardiovascular
GWAS: Heart rate variability traits (SDNN)	cardiovascular
GWAS: Heart rate variability traits (pvRSA/HF)	cardiovascular
GWAS: Heel bone mineral density	skeletal
GWAS: Height	skeletal
GWAS: Helicobacter pylori serologic status	immune
GWAS: Helping behaviour (self reported)	behavior
GWAS: Hematocrit	hematologic
GWAS: Hematological and biochemical traits	hematologic
GWAS: Hematological parameters	hematologic
GWAS: Hematology traits	hematologic
GWAS: Hemoglobin	hematologic
GWAS: Hemoglobin A1c levels	hematologic
GWAS: Hemoglobin concentration	hematologic
GWAS: Hemoglobin levels	hematologic
GWAS: Hemostatic factors and hematological phenotypes	hematologic
GWAS: Hepatitis B	immune
GWAS: Hepatitis B surface antigen seroclearance in chronic hepatitis B infection	immune
GWAS: Hepatitis B vaccine response	immune
GWAS: Hepatitis C induced liver fibrosis	immune
GWAS: Hepatocellular carcinoma	digestive
GWAS: Hepatocellular carcinoma in hepatitis B infection	digestive
GWAS: Hepcidin levels	digestive
GWAS: Hepcidin/ferritin ratio	digestive
GWAS: Hepcidin/transferrin saturation ratio	digestive
GWAS: Heschl's gyrus morphology	nervous
GWAS: High altitude adaptation	other
GWAS: High density lipoprotein cholesterol levels	metabolic
GWAS: High light scatter reticulocyte count	metabolic
GWAS: High light scatter reticulocyte percentage of red cells	metabolic
GWAS: Hip circumference	skeletal
GWAS: Hip circumference adjusted for BMI	skeletal
GWAS: Hip geometry	skeletal
GWAS: Hip minimal joint space width	skeletal
GWAS: Hip shape (DXA scan)	skeletal
GWAS: Hippocampal atrophy	nervous
GWAS: Hippocampal sclerosis	nervous
GWAS: Hippocampal subfield CA1 volume	nervous
GWAS: Hippocampal subfield CA3 volume	nervous
GWAS: Hippocampal subfield CA4 volume	nervous
GWAS: Hippocampal tail volume	nervous
GWAS: Hippocampal tail volume (corrected for total hippocampal volume)	nervous
GWAS: Hippocampal volume	nervous
GWAS: Hippocampal volume in Alzheimer's disease dementia	nervous
GWAS: Hippocampal volume in mild cognitive impairment	nervous
GWAS: Hippocampal volume in normal cognition	nervous
GWAS: Hirschsprung disease	digestive
GWAS: Hodgkin's lymphoma	lymphatic
GWAS: Homeostasis model assessment of beta-cell function	metabolic
GWAS: Homeostasis model assessment of beta-cell function (dietary factor interaction)	metabolic
GWAS: Homeostasis model assessment of insulin resistance (dietary factor interaction)	metabolic
GWAS: Homocysteine levels	other
GWAS: Household income	other
GWAS: Huntington's disease progression	nervous
GWAS: Hyperactive-impulsive symptoms	behavior
GWAS: Hyperopia	nervous
GWAS: Hypersomnia (HLA-DQB1*06:02 negative)	behavior
GWAS: Hypertension	cardiovascular
GWAS: Hypertension (SNP x SNP interaction)	cardiovascular
GWAS: Hyperthyroidism	endocrine
GWAS: Hypertriglyceridemia	metabolic
GWAS: Hypospadias	urinary
GWAS: Hypothyroidism	endocrine
GWAS: Idiopathic dilated cardiomyopathy	cardiovascular
GWAS: Idiopathic inflammatory myopathy	skeletal muscle
GWAS: Idiopathic intracranial hypertension	cardiovascular
GWAS: Idiopathic membranous nephropathy	urinary
GWAS: Idiopathic osteonecrosis of the femoral head	skeletal
GWAS: Idiopathic pulmonary fibrosis	respiratory
GWAS: IgA nephropathy	immune
GWAS: IgE grass sensitization	immune
GWAS: IgE levels	immune
GWAS: IgG N-glycosylation phenotypes (multivariate analysis)	immune
GWAS: IgG bisecting N-acetyl glucosamine phenotypes (multivariate analysis)	immune
GWAS: IgG digalactosylation phenotypes (multivariate analysis)	immune
GWAS: IgG disialylation phenotypes (multivariate analysis)	immune
GWAS: IgG fucosylation phenotypes (multivariate analysis)	immune
GWAS: IgG galactosylation phenotypes (multivariate analysis)	immune
GWAS: IgG glycosylation	immune
GWAS: IgG monogalactosylation phenotypes (multivariate analysis)	immune
GWAS: IgG sialylation phenotypes (multivariate analysis)	immune
GWAS: Immature fraction of reticulocytes	hematologic
GWAS: Immune reponse to smallpox (secreted IFN-alpha)	immune
GWAS: Immune reponse to smallpox (secreted IL-10)	immune
GWAS: Immune reponse to smallpox (secreted IL-12p40)	immune
GWAS: Immune reponse to smallpox (secreted IL-1beta)	immune
GWAS: Immune reponse to smallpox (secreted IL-2)	immune
GWAS: Immune reponse to smallpox (secreted TNF-alpha)	immune
GWAS: Immune response to anthrax vaccine	immune
GWAS: Immune response to measles-mumps-rubella vaccine	immune
GWAS: Immune response to smallpox vaccine (IL-6)	immune
GWAS: Immunoglobulin A	immune
GWAS: Immunoglobulin A vasculitis	immune
GWAS: Immunoglobulin light chain (AL) amyloidosis	immune
GWAS: Immunoglobulin measurement (zinc sulfate turbidity test)	immune
GWAS: Incident atrial fibrillation	cardiovascular
GWAS: Infant length	skeletal
GWAS: Inflammatory biomarkers	immune
GWAS: Inflammatory bowel disease	digestive
GWAS: Inflammatory bowel disease (early onset)	digestive
GWAS: Inflammatory skin disease	integumentary
GWAS: Influenza A (H1N1) infection	immune
GWAS: Influenza A (H1N1) severity	immune
GWAS: Information processing speed	nervous
GWAS: Initial alcohol sensitivity	other
GWAS: Initial pursuit acceleration	nervous
GWAS: Initial pursuit acceleration in psychotic disorders	nervous
GWAS: Insomnia	behavior
GWAS: Insomnia (caffeine-induced)	other
GWAS: Insulin resistance/response	immune
GWAS: Insulin-like growth factors	immune
GWAS: Insulin-related traits	immune
GWAS: Intelligence	other
GWAS: Intelligence (MTAG)	other
GWAS: Interferon alpha levels in systemic lupus erythematosus	immune
GWAS: Interleukin-1-receptor antagonist levels	immune
GWAS: Interleukin-10 levels	immune
GWAS: Interleukin-6 levels	immune
GWAS: Interstitial lung disease	respiratory
GWAS: Intracranial aneurysm	nervous
GWAS: Intracranial volume	nervous
"GWAS: Intracranial, abdominal aortic or thoracic aortic aneurysm (pleiotropy)"	nervous
GWAS: Intraocular pressure	nervous
GWAS: Intrinsic epigenetic age acceleration	other
GWAS: Iris characteristics	integumentary
GWAS: Iris color (L* coordinate)	integumentary
GWAS: Iris color (a* coordinate)	integumentary
GWAS: Iris color (b* coordinate)	integumentary
GWAS: Iron status biomarkers	other
GWAS: Iron status biomarkers (ferritin levels)	other
GWAS: Iron status biomarkers (iron levels)	other
GWAS: Iron status biomarkers (total iron binding capacity)	other
GWAS: Iron status biomarkers (transferrin levels)	other
GWAS: Iron status biomarkers (transferrin saturation)	other
GWAS: Irritable bowel syndrome	digestive
GWAS: Irritable mood	behavior
GWAS: Ischemic stroke	cardiovascular
GWAS: Ischemic stroke (cardioembolic)	cardiovascular
GWAS: Ischemic stroke (large artery atherosclerosis)	cardiovascular
GWAS: Ischemic stroke (small-vessel)	cardiovascular
GWAS: Isovolumetric relaxation time	cardiovascular
GWAS: Itch intensity from mosquito bite	immune
GWAS: Itch intensity from mosquito bite adjusted by bite size	immune
GWAS: JT interval (sulfonylurea treatment interaction)	cardiovascular
GWAS: Joint mobility (Beighton score)	skeletal
GWAS: Juvenile idiopathic arthritis (oligoarticular or rheumatoid factor-negative polyarticular)	immune
GWAS: Kawasaki disease	cardiovascular
GWAS: Kidney function decline traits	urinary
GWAS: Knee osteoarthritis	skeletal
GWAS: L-arginine levels	other
GWAS: LDL cholesterol	metabolic
GWAS: LDL cholesterol change in response to fenofibrate in statin-treated type 2 diabetes	metabolic
GWAS: LDL cholesterol levels	metabolic
GWAS: LDL peak particle diameter (total fat intake interaction)	metabolic
GWAS: Lactate dehydrogenase levels	metabolic
GWAS: Language performance in older adults (adjusted for episodic memory)	nervous
GWAS: Large HDL particle concentration	metabolic
GWAS: Large LDL particle concentration	metabolic
GWAS: Large artery stroke	cardiovascular
GWAS: Laryngeal squamous cell carcinoma	other
GWAS: Late-onset Alzheimer's disease	nervous
GWAS: Late-onset myasthenia gravis	skeletal muscle
GWAS: Lateral ventricular volume in normal aging	nervous
GWAS: Laterality in neovascular age-related macular degeneration	nervous
GWAS: Lead levels	other
GWAS: Lead levels in blood	other
GWAS: Lean body mass	skeletal muscle
GWAS: Left superior temporal gyrus thickness (schizophrenia interaction)	nervous
GWAS: Left ventricular internal dimension in diastole	cardiovascular
GWAS: Left ventricular internal dimension in systole	cardiovascular
GWAS: Left ventricular obstructive tract defect (inherited effect)	cardiovascular
GWAS: Left ventricular obstructive tract defect (maternal effect)	cardiovascular
GWAS: Leisure-time exercise behaviour	behavior
GWAS: Leisure-time exercise behaviour (age-stratified)	behavior
GWAS: Length of menstrual cycle	reproductive
GWAS: Lentiform nucleus volume	nervous
GWAS: Leprosy	immune
GWAS: Lewy body disease	nervous
GWAS: Lifespan	other
GWAS: Lifetime average cigarettes per day in chronic obstructive pulmonary disease	behavior
GWAS: Light vs. dark hair color	integumentary
GWAS: Limited cutaneous systemic scleroderma	integumentary
GWAS: Lipid metabolism phenotypes	metabolic
GWAS: Lipid traits	metabolic
GWAS: Lipid traits (pleiotropy) (HIPO component 1)	metabolic
GWAS: Lipoprotein (a) - cholesterol levels	metabolic
GWAS: Lipoprotein (a) levels	metabolic
GWAS: Lipoprotein phospholipase A2 activity in cardiovascular disease	metabolic
GWAS: Lipoprotein-associated phospholipase A2 activity and mass	metabolic
GWAS: Lipoprotein-associated phospholipase A2 activity change in response to statin therapy	metabolic
GWAS: Liver enzyme levels	other
GWAS: Liver enzyme levels (alanine transaminase)	other
GWAS: Liver enzyme levels (alkaline phosphatase)	other
GWAS: Liver enzyme levels (aspartate transaminase)	other
GWAS: Liver enzyme levels (gamma-glutamyl transferase)	other
GWAS: Liver fibrosis in pediatric non-alcoholic fatty acid liver disease	other
GWAS: Liver transplant-free survival in primary sclerosing cholangitis (time to event)	other
GWAS: Lobe attachment (rater scored)	integumentary
GWAS: Lobe attachment (rater-scored or self-reported)	integumentary
GWAS: Lobe size	other
GWAS: Local histogram emphysema pattern	respiratory
GWAS: Logical memory (delayed recall)	nervous
GWAS: Logical memory (delayed recall) in Alzheimer's disease dementia	nervous
GWAS: Logical memory (delayed recall) in mild cognitive impairment	nervous
GWAS: Logical memory (delayed recall) in normal cognition	nervous
GWAS: Logical memory (immediate recall)	nervous
GWAS: Logical memory (immediate recall) in Alzheimer's disease dementia	nervous
GWAS: Logical memory (immediate recall) in mild cognitive impairment	nervous
GWAS: Logical memory (immediate recall) in normal cognition	nervous
GWAS: Loneliness	behavior
GWAS: Loneliness (MTAG)	behavior
GWAS: Loneliness (linear analysis)	behavior
GWAS: Loneliness (multivariate analysis)	behavior
GWAS: Longevity	other
GWAS: Longevity (90 years and older)	other
GWAS: Longitudinal alcohol consumption	behavior
GWAS: Longitudinal change in brain amyloid plaque burden	nervous
GWAS: Low density lipoprotein cholesterol levels	metabolic
GWAS: Low high density lipoprotein cholesterol levels	metabolic
GWAS: Low tan response	integumentary
GWAS: Low vWF levels	hematologic
GWAS: Lower body strength	skeletal muscle
GWAS: Lumbar spine bone mineral density	skeletal
GWAS: Lumbar spine bone mineral density (integral)	skeletal
GWAS: Lumbar spine bone mineral density (trabecular)	skeletal
GWAS: Lung adenocarcinoma	respiratory
GWAS: Lung cancer	respiratory
GWAS: Lung cancer (smoking interaction)	respiratory
GWAS: Lung cancer in ever smokers	respiratory
GWAS: Lung cancer in never smokers	respiratory
GWAS: Lung disease severity in cystic fibrosis	respiratory
GWAS: Lung function (FEV1)	respiratory
GWAS: Lung function (FEV1/FVC)	respiratory
GWAS: Lung function (FVC)	respiratory
GWAS: Lung function (forced vital capacity)	respiratory
GWAS: Lupus nephritis in systemic lupus erythematosus	urinary
GWAS: Lymphocyte counts	lymphatic
GWAS: Lymphocyte percentage of white cells	lymphatic
GWAS: Lymphoma	lymphatic
GWAS: MGMT methylation in smokers	other
GWAS: Macular telangiectasia type 2	nervous
GWAS: Macular thickness	nervous
GWAS: Magnesium levels	other
GWAS: Major depressive disorder	behavior
GWAS: Major depressive disorder (broad)	behavior
GWAS: Malaria	immune
GWAS: Male fertility	reproductive
GWAS: Male infertility	reproductive
GWAS: Male-pattern baldness	integumentary
GWAS: Mammographic density (dense area)	reproductive
GWAS: Manganese levels	other
GWAS: Manic episodes in bipolar disorder	behavior
GWAS: Matrix metalloproteinase-8 levels	other
GWAS: Mean arterial pressure	cardiovascular
GWAS: Mean arterial pressure (alcohol consumption interaction)	cardiovascular
GWAS: Mean arterial pressure (long-term average)	cardiovascular
GWAS: Mean arterial pressure x alcohol consumption (light vs heavy) interaction (2df test)	cardiovascular
GWAS: Mean arterial pressure x alcohol consumption interaction (2df test)	cardiovascular
GWAS: Mean corpuscular hemoglobin	hematologic
GWAS: Mean corpuscular hemoglobin concentration	hematologic
GWAS: Mean corpuscular volume	hematologic
GWAS: Mean diameter of HDL particles	metabolic
GWAS: Mean platelet volume	hematologic
GWAS: Medium LDL particle concentration	metabolic
GWAS: Melanoma	integumentary
GWAS: Memory dysfunction in frontotemporal lobe dementia	nervous
GWAS: Menarche (age at onset)	reproductive
GWAS: Menarche and menopause (age at onset)	reproductive
GWAS: Menopause (age at onset)	reproductive
GWAS: Menstruation quality of life impact (dysmenorrhea)	reproductive
GWAS: Mercury levels	other
GWAS: Metabolic syndrome	metabolic
GWAS: Metabolic syndrome (bivariate traits)	metabolic
GWAS: Metabolic syndrome (multivariate analysis)	metabolic
GWAS: Metabolic traits	metabolic
GWAS: Metabolite levels	metabolic
GWAS: Metabolite levels  (X-11787)	metabolic
GWAS: Metabolite levels (5-HIAA)	metabolic
GWAS: Metabolite levels (5-HIAA/ MHPG Ratio)	metabolic
GWAS: Metabolite levels (Dihydroxy docosatrienoic acid)	metabolic
GWAS: Metabolite levels (HVA)	metabolic
GWAS: Metabolite levels (HVA-5-HIAA Factor score)	metabolic
GWAS: Metabolite levels (HVA/5-HIAA ratio)	metabolic
GWAS: Metabolite levels (HVA/MHPG ratio)	metabolic
GWAS: Metabolite levels (MHPG)	metabolic
GWAS: Metabolite levels (Pyroglutamine)	metabolic
GWAS: Metabolite levels (lipid measures)	metabolic
GWAS: Metabolite levels (lipoprotein measures)	metabolic
GWAS: Metabolite levels (small molecules and protein measures)	metabolic
GWAS: Methadone dose in opioid dependence	other
GWAS: Methotrexate phramacokinetics (acute lymphoblastic leukemia)	other
GWAS: Microalbuminuria	other
GWAS: Middle childhood and early adolescence aggressive behavior	behavior
GWAS: Midgestational circulating levels of PBDEs	reproductive
GWAS: Midgestational circulating levels of PBDEs (fetal genetic effect)	reproductive
GWAS: Midgestational circulating levels of PCBs	reproductive
GWAS: Migraine	nervous
GWAS: Migraine - clinic-based	nervous
GWAS: Migraine without aura	nervous
GWAS: Mild influenza (H1N1) infection	immune
GWAS: Milk allergy	immune
GWAS: Mitochondrial DNA levels	other
GWAS: Mitral valve prolapse	cardiovascular
GWAS: Moderate or severe diarrhoea in darapladib-treated cardiovascular disease (time to event)	other
GWAS: Moderate to vigorous physical activity levels	behavior
GWAS: Modified Stumvoll Insulin Sensitivity Index (BMI interaction)	metabolic
GWAS: Molar-incisor hypomineralization	skeletal
GWAS: Molybdenum levels	other
GWAS: Monobrow	integumentary
GWAS: Monobrow thickness	integumentary
GWAS: Monoclonal gammopathy of undetermined significance	hematologic
GWAS: Monocyte chemoattractant protein-1 levels	immune
GWAS: Monocyte count	immune
GWAS: Monocyte early outgrowth colony forming units	immune
GWAS: Monocyte percentage of white cells	immune
GWAS: Mood instability	behavior
GWAS: Morning vs. evening chronotype	behavior
GWAS: Mortality in heart failure	cardiovascular
GWAS: Mortality in sepsis	other
GWAS: Mosquito bite size	other
GWAS: Motion sickness	nervous
GWAS: Moyamoya disease	cardiovascular
GWAS: Multiple keratinocyte cancers	integumentary
GWAS: Multiple myeloma	immune
GWAS: Multiple myeloma and monoclonal gammopathy	immune
GWAS: Multiple sclerosis	nervous
GWAS: Multiple sclerosis (OCB status)	nervous
GWAS: Multiple sclerosis (age of onset)	nervous
GWAS: Multiple sclerosis (severity)	nervous
GWAS: Multiple sclerosis and HDL levels (pleiotropy)	nervous
GWAS: Multiple sclerosis and triglyceride levels (pleiotropy)	nervous
GWAS: Multiple sclerosis--Brain Glutamate Levels	nervous
GWAS: Multiple system atrophy	nervous
GWAS: Multiple system atrophy (pathologically confirmed)	nervous
GWAS: Mumps	immune
GWAS: Myasthenia gravis	skeletal muscle
GWAS: Myeloid white cell count	immune
GWAS: Myeloproliferative neoplasms	hematologic
GWAS: Myocardial infarction	cardiovascular
GWAS: Myocardial infarction (early onset)	cardiovascular
GWAS: Myopia	nervous
GWAS: Myopia (pathological)	nervous
GWAS: Myositis	skeletal muscle
GWAS: N-glycan levels	endocrine
GWAS: Narcolepsy	behavior
GWAS: Narcolepsy with cataplexy	behavior
GWAS: Nasopharyngeal carcinoma	other
GWAS: Nasopharyngeal carcinoma (SNP x SNP interaction)	other
GWAS: Neonatal cytokine/chemokine levels (fetal genetic effect)	other
GWAS: Neonatal lupus	immune
GWAS: Nephrolithiasis	urinary
GWAS: Nephropathy	urinary
GWAS: Neuritic plaque	nervous
GWAS: Neuritic plaques or neurofibrillary tangles (pleiotropy)	nervous
GWAS: Neuritic plaques or neurofibrillary tangles or cerebral amyloid angiopathy (pleiotropy)	nervous
GWAS: Neuroblastoma	nervous
GWAS: Neurociticism	behavior
GWAS: Neurocognitive impairment in HIV-1 infection (continuous)	nervous
GWAS: Neurocognitive impairment in HIV-1 infection (dichotomous)	nervous
GWAS: Neurofibrillary tangles	nervous
GWAS: Neuromyelitis optica	nervous
GWAS: Neuromyelitis optica (AQP4-IgG-positive)	nervous
GWAS: Neuropathic pain in type 2 diabetes	nervous
GWAS: Neuroticism	behavior
GWAS: Neutrophil count	lymphatic
GWAS: Neutrophil count in HIV-infection	lymphatic
GWAS: Neutrophil percentage of granulocytes	lymphatic
GWAS: Neutrophil percentage of white cells	lymphatic
GWAS: Nickel levels	other
GWAS: Nicotine dependence	behavior
GWAS: Nicotine dependence and major depression (severity of comorbidity)	behavior
GWAS: Night sleep phenotypes	behavior
GWAS: Nodular sclerosis Hodgkin lymphoma	lymphatic
GWAS: Non-albumin protein levels	other
GWAS: Non-alcoholic fatty liver disease histology (lobular)	digestive
GWAS: Non-alcoholic fatty liver disease histology (other)	digestive
GWAS: Non-cardia gastric cancer	digestive
GWAS: Non-glioblastoma glioma	nervous
GWAS: Non-melanoma skin cancer	integumentary
GWAS: Non-obstructive azoospermia	reproductive
GWAS: Non-response to antidepressants and depression	other
GWAS: Non-response to bupropion and depression	other
GWAS: Non-response to citalopram or escitalopram and depression	other
GWAS: Non-response to selective serotonin reuptake inhibitors and depression	other
GWAS: Non-small cell lung cancer	respiratory
GWAS: Nonalcoholic fatty liver disease	digestive
GWAS: Nonsyndromic cleft lip with cleft palate	other
GWAS: Nonsyndromic cleft lip with or without cleft palate	other
GWAS: Normalized brain volume	nervous
GWAS: Nose morphology	skeletal
GWAS: Nose size	skeletal
GWAS: Number of children ever born	reproductive
GWAS: Obese vs. thin	metabolic
GWAS: Obesity	metabolic
GWAS: Obesity (early onset extreme)	metabolic
GWAS: Obesity (extreme)	metabolic
GWAS: Obesity in adult survivors of childhood cancer exposed to cranial radiation	metabolic
GWAS: Obesity-related traits	metabolic
GWAS: Objective response to lithium treatment	other
GWAS: Obsessive-compulsive disorder	behavior
GWAS: Obsessive-compulsive disorder or autism spectrum disorder	behavior
GWAS: Obsessive-compulsive symptoms	behavior
GWAS: Obstetric antiphospholipid syndrome	immune
GWAS: Obstructive sleep apnea during REM sleep (apnea hypopnea index)	other
GWAS: Obstructive sleep apnea trait (apnea hypopnea index)	other
GWAS: Obstructive sleep apnea trait (average respiratory event duration)	other
GWAS: Oleic acid (18:1n-9) levels	other
GWAS: Opioid sensitivity	other
GWAS: Oppositional defiant disorder dimensions in attention-deficit hyperactivity disorder	behavior
GWAS: Optic cup area	nervous
GWAS: Optic disc area	nervous
GWAS: Optic disc parameters	nervous
GWAS: Optic nerve measurement (cup area)	nervous
GWAS: Optic nerve measurement (cup-to-disc ratio)	nervous
GWAS: Optic nerve measurement (disc area)	nervous
GWAS: Optic nerve measurement (rim area)	nervous
GWAS: Oral cavity and pharyngeal cancer	other
GWAS: Oral cavity cancer	other
GWAS: Orofacial clefts	other
GWAS: Oropharynx cancer	other
GWAS: Orthostatic hypotension	cardiovascular
