HPO_term	system
HPO: Aplasia/Hypoplasia of metatarsal bones (HP:0001964)	skeletal
HPO: Mesangial abnormality (HP:0001966)	urinary
HPO: Facial shape deformation (HP:0011334)	skeletal
HPO: Abnormality of alkaline phosphatase activity (HP:0004379)	other
HPO: Paraplegia (HP:0010550)	nervous
HPO: Cutaneous finger syndactyly (HP:0010554)	integumentary
HPO: Micromelia (HP:0002983)	skeletal
HPO: Cone-rod dystrophy (HP:0000548)	nervous
HPO: External ophthalmoplegia (HP:0000544)	nervous
HPO: Retinal detachment (HP:0000541)	nervous
HPO: Gastrointestinal infarctions (HP:0005244)	digestive
HPO: Optic disc pallor (HP:0000543)	nervous
HPO: Prolonged bleeding time (HP:0003010)	hematologic
HPO: Flared metaphyses (HP:0003015)	skeletal
HPO: Pectus excavatum (HP:0000767)	skeletal
HPO: External ear malformation (HP:0008572)	other
HPO: Pectus carinatum (HP:0000768)	skeletal
HPO: Exostoses (HP:0100777)	skeletal
HPO: Thoracolumbar scoliosis (HP:0002944)	skeletal
HPO: Thoracic kyphosis (HP:0002942)	skeletal
HPO: Coronal craniosynostosis (HP:0004440)	skeletal
HPO: Aplasia/Hypoplasia of the middle phalanx of the 5th finger (HP:0009161)	skeletal
HPO: Abnormality of the umbilical cord (HP:0010881)	reproductive
HPO: Increased nuchal translucency (HP:0010880)	other
HPO: Fused cervical vertebrae (HP:0002949)	skeletal
HPO: Poikilocytosis (HP:0004447)	hematologic
HPO: Generalized amyotrophy (HP:0003700)	nervous
HPO: Abnormality of T cell physiology (HP:0011840)	immune
HPO: Abnormal connection of the cardiac segments (HP:0011545)	cardiovascular
HPO: Vertebral hypoplasia (HP:0008417)	skeletal
HPO: Blindness (HP:0000618)	nervous
HPO: Hypercholesterolemia (HP:0003124)	metabolic
HPO: Vertebral compression fractures (HP:0002953)	skeletal
HPO: Photophobia (HP:0000613)	nervous
HPO: Iris coloboma (HP:0000612)	nervous
HPO: Abnormality of the pupil (HP:0000615)	nervous
HPO: Abnormality of the nasolacrimal system (HP:0000614)	other
HPO: Lactic acidosis (HP:0003128)	metabolic
HPO: Urinary bladder sphincter dysfunction (HP:0002839)	urinary
HPO: Ankle clonus (HP:0011448)	nervous
HPO: Abnormality of aspartate family amino acid metabolism (HP:0010899)	metabolic
HPO: Recurrent bronchitis (HP:0002837)	respiratory
HPO: Parkinsonism with favorable response to dopaminergic medication (HP:0002548)	other
HPO: Abnormality involving the epiphyses of the upper limbs (HP:0003839)	skeletal
HPO: Inability to walk (HP:0002540)	other
HPO: Congenital hepatic fibrosis (HP:0002612)	digestive
HPO: Aneurysm (HP:0002617)	nervous
HPO: Abnormal drinking behavior (HP:0030082)	behavior
HPO: Hypotension (HP:0002615)	cardiovascular
HPO: Hypoalphalipoproteinemia (HP:0003233)	metabolic
HPO: Spinal cord lesions (HP:0100561)	nervous
HPO: Flattened epiphyses (HP:0003071)	skeletal
HPO: Infertility (HP:0000789)	reproductive
HPO: Increased number of teeth (HP:0011069)	skeletal
HPO: Chronic mucocutaneous candidiasis (HP:0002728)	immune
HPO: Abnormal number of incisors (HP:0011064)	skeletal
HPO: Systemic lupus erythematosus (HP:0002725)	immune
HPO: Recurrent abscess formation (HP:0002722)	immune
HPO: Abnormality of incisor morphology (HP:0011063)	skeletal
HPO: Partial duplication of thumb phalanx (HP:0009944)	skeletal
HPO: Duplication of thumb phalanx (HP:0009942)	skeletal
HPO: Ulnar deviation of finger (HP:0009465)	skeletal
HPO: Myopathic facies (HP:0002058)	skeletal muscle
HPO: Abnormality of the intervertebral disk (HP:0005108)	skeletal
HPO: Abnormality of the Achilles tendon (HP:0005109)	skeletal muscle
HPO: Decreased central vision (HP:0007663)	nervous
HPO: Abnormality of the vertebral endplates (HP:0005106)	skeletal
HPO: Short palpebral fissure (HP:0012745)	integumentary
HPO: Papilloma (HP:0012740)	other
HPO: Breech presentation (HP:0001623)	reproductive
HPO: Premature birth (HP:0001622)	reproductive
HPO: High pitched voice (HP:0001620)	other
HPO: Ventricular septal defect (HP:0001629)	cardiovascular
HPO: Neuroectodermal neoplasm (HP:0030061)	nervous
HPO: Nervous tissue neoplasm (HP:0030060)	nervous
HPO: Neuroepithelial neoplasm (HP:0030063)	nervous
HPO: High anterior hairline (HP:0009890)	integumentary
HPO: Underdeveloped supraorbital ridges (HP:0009891)	skeletal
HPO: Abnormal protein glycosylation (HP:0012346)	other
HPO: Abnormal protein N-linked glycosylation (HP:0012347)	other
HPO: Arnold-Chiari malformation (HP:0002308)	skeletal
HPO: Muscle hypertrophy of the lower extremities (HP:0008968)	skeletal muscle
HPO: Abnormality of nucleobase metabolism (HP:0010932)	metabolic
HPO: Double outlet right ventricle (HP:0001719)	cardiovascular
HPO: Mitral stenosis (HP:0001718)	cardiovascular
HPO: Congenital nonbullous ichthyosiform erythroderma (HP:0007479)	integumentary
HPO: Left ventricular hypertrophy (HP:0001712)	cardiovascular
HPO: Broad phalanges of the hand (HP:0009768)	skeletal
HPO: Recurrent pneumonia (HP:0006532)	immune
HPO: Interstitial pulmonary disease (HP:0006530)	respiratory
HPO: Advanced eruption of teeth (HP:0006288)	skeletal
HPO: Severe muscular hypotonia (HP:0006829)	skeletal muscle
HPO: Ectopia lentis (HP:0001083)	nervous
HPO: Cholecystitis (HP:0001082)	digestive
HPO: Cholelithiasis (HP:0001081)	digestive
HPO: Congenital glaucoma (HP:0001087)	nervous
HPO: Papilledema (HP:0001085)	nervous
HPO: Brushfield spots (HP:0001088)	nervous
HPO: Hyperextensible skin (HP:0000974)	integumentary
HPO: Hyperhidrosis (HP:0000975)	integumentary
HPO: Eczematoid dermatitis (HP:0000976)	integumentary
HPO: Soft skin (HP:0000977)	integumentary
HPO: Anhidrosis (HP:0000970)	integumentary
HPO: Palmoplantar hyperkeratosis (HP:0000972)	integumentary
HPO: Bile duct proliferation (HP:0001408)	digestive
HPO: Hypophosphatemic rickets (HP:0004912)	skeletal
HPO: Intrahepatic cholestasis (HP:0001406)	digestive
HPO: Hepatocellular necrosis (HP:0001404)	digestive
HPO: Bruising susceptibility (HP:0000978)	other
HPO: Hepatocellular carcinoma (HP:0001402)	digestive
HPO: Septate vagina (HP:0001153)	reproductive
HPO: Abnormality of cochlea (HP:0000375)	nervous
HPO: Cupped ear (HP:0000378)	other
HPO: Hypercortisolism (HP:0001578)	endocrine
HPO: Proximal tubulopathy (HP:0000114)	urinary
HPO: Nephropathy (HP:0000112)	urinary
HPO: Polycystic kidney dysplasia (HP:0000113)	urinary
HPO: Renal dysplasia (HP:0000110)	urinary
HPO: Reduced antithrombin III activity (HP:0001976)	other
HPO: Leukocytosis (HP:0001974)	immune
HPO: Autoimmune thrombocytopenia (HP:0001973)	immune
HPO: Macrocytic anemia (HP:0001972)	hematologic
HPO: Tubulointerstitial nephritis (HP:0001970)	urinary
HPO: Epicanthus (HP:0000286)	integumentary
HPO: Facial edema (HP:0000282)	immune
HPO: Broad face (HP:0000283)	skeletal
HPO: Coarse facial features (HP:0000280)	integumentary
HPO: Absent forearm bone (HP:0003953)	skeletal
HPO: Agnosia (HP:0010524)	nervous
HPO: Bowed forearm bones (HP:0003956)	skeletal
HPO: Abnormality of saccadic eye movements (HP:0000570)	nervous
HPO: Megaloblastic anemia (HP:0001889)	hematologic
HPO: Lymphopenia (HP:0001888)	lymphatic
HPO: Thick eyebrow (HP:0000574)	integumentary
HPO: Scotoma (HP:0000575)	nervous
HPO: Exotropia (HP:0000577)	nervous
HPO: Leukopenia (HP:0001882)	immune
HPO: Eosinophilia (HP:0001880)	hematologic
HPO: Colon cancer (HP:0003003)	digestive
HPO: Testicular atrophy (HP:0000029)	reproductive
HPO: Neuroblastoma (HP:0003006)	nervous
HPO: Abnormality of male internal genitalia (HP:0000022)	reproductive
HPO: Personality changes (HP:0000751)	behavior
HPO: Urinary incontinence (HP:0000020)	urinary
HPO: Azoospermia (HP:0000027)	reproductive
HPO: Abnormality of the wing of the ilium (HP:0011867)	skeletal
HPO: Chest pain (HP:0100749)	other
HPO: Hyperpituitarism (HP:0010514)	endocrine
HPO: Blue sclerae (HP:0000592)	integumentary
HPO: Abnormality of the anterior chamber (HP:0000593)	nervous
HPO: Progressive external ophthalmoplegia (HP:0000590)	nervous
HPO: Neoplasm of the rectum (HP:0100743)	digestive
HPO: Abnormality of the humeroradial joint (HP:0100744)	skeletal
HPO: Muscle fiber splitting (HP:0003555)	skeletal muscle
HPO: Abnormal tarsal ossification (HP:0008369)	skeletal
HPO: Tarsal synostosis (HP:0008368)	skeletal
HPO: Upper limb muscle weakness (HP:0003484)	skeletal muscle
HPO: Babinski sign (HP:0003487)	nervous
HPO: Aplasia/Hypoplasia of the hallux (HP:0008362)	skeletal
HPO: Segmental peripheral demyelination/remyelination (HP:0003481)	nervous
HPO: Abnormality of the calcaneus (HP:0008364)	skeletal
HPO: Muscle stiffness (HP:0003552)	skeletal muscle
HPO: Exercise-induced muscle cramps (HP:0003710)	skeletal muscle
HPO: Abnormality of the distal phalanges of the toes (HP:0010182)	skeletal
HPO: Aplasia/Hypoplasia of the phalanges of the 5th finger (HP:0009376)	skeletal
HPO: Patellar dislocation (HP:0002999)	skeletal
HPO: Tetraplegia (HP:0002445)	nervous
HPO: Fibular aplasia (HP:0002990)	skeletal
HPO: Abnormality of the fibula (HP:0002991)	skeletal
HPO: Cleft eyelid (HP:0000625)	integumentary
HPO: Posterior embryotoxon (HP:0000627)	nervous
HPO: Panhypogammaglobulinemia (HP:0003139)	immune
HPO: Entropion (HP:0000621)	nervous
HPO: Chronic sinusitis (HP:0011109)	immune
HPO: Furrowed tongue (HP:0000221)	other
HPO: Abnormality of the left ventricular outflow tract (HP:0011103)	cardiovascular
HPO: Abnormality of T cells (HP:0002843)	immune
HPO: Intestinal atresia (HP:0011100)	digestive
HPO: Abnormality of the gastric mucosa (HP:0004295)	digestive
HPO: Hypolipoproteinemia (HP:0010981)	metabolic
HPO: Polygenic inheritance (HP:0010982)	other
HPO: Cortical dysplasia (HP:0002539)	nervous
HPO: Incomplete penetrance (HP:0003829)	other
HPO: Variable expressivity (HP:0003828)	other
HPO: Abnormality of the intrinsic pathway (HP:0010989)	hematologic
HPO: Female pseudohermaphroditism (HP:0010458)	reproductive
HPO: True hermaphroditism (HP:0010459)	reproductive
HPO: Delayed gross motor development (HP:0002194)	nervous
HPO: Nephroblastoma (Wilms tumor) (HP:0002667)	urinary
HPO: Lymphoma (HP:0002665)	lymphatic
HPO: Delayed epiphyseal ossification (HP:0002663)	skeletal
HPO: Mucosal telangiectasiae (HP:0100579)	integumentary
HPO: Lipoatrophy (HP:0100578)	metabolic
HPO: Attention deficit hyperactivity disorder (HP:0007018)	behavior
HPO: Chromosomal breakage induced by crosslinking agents (HP:0003221)	other
HPO: Abnormality of the vocal cords (HP:0008777)	other
HPO: Abnormality of the prostate (HP:0008775)	reproductive
HPO: Amaurosis fugax (HP:0100576)	nervous
HPO: Biliary tract neoplasm (HP:0100574)	digestive
HPO: Abnormality of dental color (HP:0011073)	skeletal
HPO: Heterotopia (HP:0002282)	nervous
HPO: Abnormality of molar morphology (HP:0011070)	skeletal
HPO: Abnormality of molar (HP:0011077)	skeletal
HPO: Fair hair (HP:0002286)	integumentary
HPO: Generalized tonic-clonic seizures (HP:0002069)	nervous
HPO: Morphological abnormality of the pyramidal tract (HP:0002062)	nervous
HPO: Rigidity (HP:0002063)	skeletal muscle
HPO: Spastic gait (HP:0002064)	skeletal muscle
HPO: Gait ataxia (HP:0002066)	nervous
HPO: Bradykinesia (HP:0002067)	nervous
HPO: Craniofacial dystonia (HP:0012179)	skeletal muscle
HPO: Proximal amyotrophy (HP:0007126)	nervous
HPO: Morphological abnormality of the middle ear (HP:0008609)	skeletal
HPO: Abnormal neuron morphology (HP:0012757)	nervous
HPO: Short distal phalanx of finger (HP:0009882)	skeletal
HPO: Abnormality of secondary sexual hair (HP:0009888)	integumentary
HPO: Flat cornea (HP:0007720)	nervous
HPO: Broad foot (HP:0001769)	skeletal
HPO: Hammertoe (HP:0001765)	skeletal
HPO: Talipes equinovarus (HP:0001762)	skeletal
HPO: Pes planus (HP:0001763)	skeletal
HPO: Pes cavus (HP:0001761)	skeletal
HPO: Amniotic constriction ring (HP:0009775)	other
HPO: Absent thumb (HP:0009777)	skeletal
HPO: Adactyly (HP:0009776)	skeletal
HPO: Osteolytic defects of the phalanges of the hand (HP:0009771)	skeletal
HPO: Symphalangism affecting the phalanges of the hand (HP:0009773)	skeletal
HPO: Short thumb (HP:0009778)	skeletal
HPO: Abnormal urine output (HP:0012590)	urinary
HPO: Hypoplasia of dental enamel (HP:0006297)	skeletal
HPO: Abnormal urine phosphate concentration (HP:0012599)	other
HPO: Lower limb muscle weakness (HP:0007340)	skeletal muscle
HPO: Thin skin (HP:0000963)	integumentary
HPO: Sacral dimple (HP:0000960)	integumentary
HPO: Petechiae (HP:0000967)	integumentary
HPO: Hypohidrosis (HP:0000966)	endocrine
HPO: Cutis marmorata (HP:0000965)	integumentary
HPO: Postaxial hand polydactyly (HP:0001162)	skeletal
HPO: Arachnodactyly (HP:0001166)	skeletal
HPO: Broad palm (HP:0001169)	skeletal
HPO: Corneal erosion (HP:0200020)	nervous
HPO: Down-sloping shoulders (HP:0200021)	skeletal
HPO: Skull defect (HP:0001362)	skeletal
HPO: Holoprosencephaly (HP:0001360)	nervous
HPO: Transitional cell carcinoma of the bladder (HP:0006740)	urinary
HPO: Malignant gastrointestinal tract tumors (HP:0006749)	digestive
HPO: Tinnitus (HP:0000360)	nervous
HPO: Tapered finger (HP:0001182)	skeletal
"HPO: Low-set, posteriorly rotated ears (HP:0000368)"	other
HPO: Oligodactyly (hands) (HP:0001180)	skeletal
HPO: Adducted thumb (HP:0001181)	skeletal
HPO: Hypochromic microcytic anemia (HP:0004840)	hematologic
HPO: Broad finger (HP:0001500)	skeletal
HPO: Enlarged kidneys (HP:0000105)	urinary
HPO: Renal agenesis (HP:0000104)	urinary
HPO: Nephrotic syndrome (HP:0000100)	urinary
HPO: Polyuria (HP:0000103)	urinary
HPO: Fetal akinesia sequence (HP:0001989)	other
HPO: Flat occiput (HP:0005469)	skeletal
HPO: Low anterior hairline (HP:0000294)	integumentary
HPO: Full cheeks (HP:0000293)	other
HPO: Abnormality of the radial head (HP:0003995)	skeletal
HPO: Sleep apnea (HP:0010535)	behavior
HPO: Wide cranial sutures (HP:0010537)	skeletal
HPO: Chorioretinal coloboma (HP:0000567)	nervous
HPO: Esotropia (HP:0000565)	nervous
HPO: Keratoconus (HP:0000563)	nervous
HPO: Intestinal polyp (HP:0005266)	digestive
HPO: Absent eyelashes (HP:0000561)	integumentary
HPO: Abnormality of the gallbladder (HP:0005264)	digestive
HPO: Abnormality of the fingertips (HP:0001211)	skeletal
HPO: Ulnar bowing (HP:0003031)	skeletal
HPO: Delusions (HP:0000746)	behavior
HPO: Diminished motivation (HP:0000745)	behavior
HPO: Fibular hypoplasia (HP:0003038)	skeletal
HPO: Self-mutilation (HP:0000742)	behavior
HPO: Apathy (HP:0000741)	behavior
HPO: Optic nerve coloboma (HP:0000588)	nervous
HPO: Gangrene (HP:0100758)	other
HPO: Blepharophimosis (HP:0000581)	integumentary
HPO: Abnormality of salivation (HP:0100755)	digestive
HPO: Upslanted palpebral fissure (HP:0000582)	integumentary
HPO: Esophageal neoplasm (HP:0100751)	digestive
HPO: Atelectasis (HP:0100750)	respiratory
HPO: Limb dystonia (HP:0002451)	nervous
HPO: Abnormality of the motor neurons (HP:0002450)	nervous
HPO: EMG: myopathic abnormalities (HP:0003458)	nervous
HPO: Femoral bowing (HP:0002980)	skeletal
HPO: Elbow flexion contracture (HP:0002987)	skeletal
HPO: Radial bowing (HP:0002986)	skeletal
HPO: Hypoplasia of the radius (HP:0002984)	skeletal
HPO: Dysautonomia (HP:0002459)	nervous
HPO: Abnormal cortical bone morphology (HP:0003103)	skeletal
HPO: Abnormal platelet function (HP:0011869)	hematologic
HPO: Abnormality of macrophages (HP:0004311)	immune
HPO: Decreased lacrimation (HP:0000633)	other
HPO: Long palpebral fissure (HP:0000637)	integumentary
HPO: Blue irides (HP:0000635)	integumentary
HPO: Childhood onset (HP:0011463)	other
HPO: Rhabdomyosarcoma (HP:0002859)	other
HPO: Meningioma (HP:0002858)	nervous
HPO: Genu valgum (HP:0002857)	skeletal
HPO: Abnormality of the common coagulation pathway (HP:0010990)	hematologic
HPO: IgM deficiency (HP:0002850)	immune
HPO: Abnormality of dicarboxylic acid metabolism (HP:0010995)	metabolic
HPO: Late onset (HP:0003584)	other
HPO: Right ventricular cardiomyopathy (HP:0011663)	cardiovascular
HPO: Insidious onset (HP:0003587)	other
HPO: Neuronal loss in central nervous system (HP:0002529)	nervous
HPO: Cardiovascular calcification (HP:0011915)	cardiovascular
HPO: Hypsarrhythmia (HP:0002521)	cardiovascular
HPO: Areflexia of lower limbs (HP:0002522)	nervous
HPO: Basal cell carcinoma (HP:0002671)	integumentary
HPO: Coxa valga (HP:0002673)	skeletal
HPO: Gastrointestinal carcinoma (HP:0002672)	digestive
HPO: Abnormality of the lacrimal duct (HP:0011481)	other
HPO: Abnormality of the sella turcica (HP:0002679)	skeletal
HPO: Abnormality of vitamin metabolism (HP:0100508)	metabolic
HPO: Dicarboxylic aciduria (HP:0003215)	metabolic
HPO: Increased IgE level (HP:0003212)	immune
HPO: Peripheral demyelination (HP:0011096)	nervous
HPO: Alopecia of scalp (HP:0002293)	integumentary
HPO: Severe Myopia (HP:0011003)	nervous
HPO: Brittle hair (HP:0002299)	integumentary
HPO: Absent hair (HP:0002298)	integumentary
HPO: Hypoplasia of the corpus callosum (HP:0002079)	nervous
HPO: Truncal ataxia (HP:0002078)	nervous
HPO: Migraine (HP:0002076)	nervous
HPO: Dysdiadochokinesis (HP:0002075)	nervous
HPO: Increased neuronal autofluorescent lipopigment (HP:0002074)	nervous
HPO: Progressive cerebellar ataxia (HP:0002073)	nervous
HPO: Limb ataxia (HP:0002070)	nervous
HPO: Tetraparesis (HP:0002273)	nervous
HPO: Congenital stationary night blindness (HP:0007642)	nervous
HPO: Dyschromatopsia (HP:0007641)	nervous
HPO: Bilateral sensorineural hearing impairment (HP:0008619)	nervous
HPO: Abnormality of the pulmonary veins (HP:0011718)	cardiovascular
HPO: Delayed CNS myelination (HP:0002188)	nervous
HPO: Bundle branch block (HP:0011710)	cardiovascular
HPO: Neurodegeneration (HP:0002180)	nervous
"HPO: Intellectual disability, profound (HP:0002187)"	nervous
HPO: Neurofibrillary tangles (HP:0002185)	nervous
HPO: Cutaneous syndactyly (HP:0012725)	integumentary
HPO: Heart block (HP:0012722)	cardiovascular
HPO: Deep palmar crease (HP:0006191)	integumentary
HPO: Genu varum (HP:0002970)	skeletal
HPO: Hyperglycinuria (HP:0003108)	other
HPO: Abnormality of lateral ventricle (HP:0030047)	cardiovascular
HPO: Stridor (HP:0010307)	respiratory
HPO: Iris hypopigmentation (HP:0007730)	integumentary
HPO: Bony spicule pigmentary retinopathy (HP:0007737)	nervous
HPO: Rhizomelia (HP:0008905)	skeletal muscle
HPO: Abnormal gallbladder physiology (HP:0012438)	digestive
HPO: Abnormal biliary tract physiology (HP:0012439)	digestive
HPO: Abnormal social behavior (HP:0012433)	behavior
HPO: Abnormal gallbladder morphology (HP:0012437)	digestive
HPO: Large earlobe (HP:0009748)	integumentary
HPO: Achilles tendon contracture (HP:0001771)	skeletal muscle
HPO: Short foot (HP:0001773)	skeletal
HPO: Synostosis involving bones of the lower limbs (HP:0009138)	skeletal
HPO: Focal seizures (HP:0007359)	nervous
HPO: Chronic obstructive pulmonary disease (HP:0006510)	respiratory
HPO: Neoplasm of the thyroid gland (HP:0100031)	endocrine
HPO: Amyotrophic lateral sclerosis (HP:0007354)	nervous
HPO: Abnormality of the costochondral junction (HP:0000919)	skeletal
HPO: Sprengel anomaly (HP:0000912)	skeletal
HPO: Preaxial hand polydactyly (HP:0001177)	skeletal
HPO: Large hands (HP:0001176)	skeletal
HPO: Skin nodule (HP:0200036)	integumentary
HPO: Split hand (HP:0001171)	skeletal
HPO: Vascular calcification (HP:0004934)	cardiovascular
HPO: Pustule (HP:0200039)	integumentary
HPO: Ulnar claw (HP:0001178)	nervous
HPO: Congenital hip dislocation (HP:0001374)	skeletal
HPO: Limited elbow extension (HP:0001377)	skeletal muscle
HPO: Triphalangeal thumb (HP:0001199)	skeletal
HPO: Ulnar deviation of the hand or of fingers of the hand (HP:0001193)	skeletal
HPO: Single umbilical artery (HP:0001195)	reproductive
HPO: Abnormalities of placenta or umbilical cord (HP:0001194)	reproductive
HPO: Neoplasm of the pancreas (HP:0002894)	digestive
HPO: Myotonia (HP:0002486)	skeletal muscle
HPO: Hypothyroidism (HP:0000821)	endocrine
HPO: Precocious puberty (HP:0000826)	endocrine
HPO: Growth hormone deficiency (HP:0000824)	endocrine
HPO: Hyperinsulinemic hypoglycemia (HP:0000825)	metabolic
HPO: Hypoparathyroidism (HP:0000829)	endocrine
HPO: Intrauterine growth retardation (HP:0001511)	other
HPO: Disproportionate tall stature (HP:0001519)	skeletal
HPO: Small for gestational age (HP:0001518)	other
HPO: Ketoacidosis (HP:0001993)	metabolic
HPO: Renal Fanconi syndrome (HP:0001994)	urinary
HPO: Gout (HP:0001997)	skeletal
HPO: Neonatal hypoglycemia (HP:0001998)	metabolic
HPO: Increased corneal curvature (HP:0100692)	nervous
HPO: Aplasia/Hypoplasia of the uvula (HP:0010293)	skeletal
HPO: Aplasia/Hypoplasia of the tongue (HP:0010295)	other
HPO: Ankyloglossia (HP:0010296)	other
HPO: Bifid tongue (HP:0010297)	other
HPO: Abnormality of dentin (HP:0010299)	skeletal
HPO: Biconcave vertebral bodies (HP:0004586)	skeletal
HPO: Hyperammonemia (HP:0001987)	metabolic
HPO: Deviation of the hallux (HP:0010051)	skeletal
HPO: Synostosis involving the elbow (HP:0003938)	skeletal
HPO: Broad hallux (HP:0010055)	skeletal
HPO: Congenital primary aphakia (HP:0007707)	nervous
HPO: Bone marrow hypocellularity (HP:0005528)	other
HPO: Autosomal dominant inheritance (HP:0000006)	other
HPO: Autosomal recessive inheritance (HP:0000007)	other
HPO: Multicystic kidney dysplasia (HP:0000003)	urinary
HPO: Fibroma (HP:0010614)	reproductive
HPO: Angiofibromas (HP:0010615)	cardiovascular
HPO: Menorrhagia (HP:0000132)	reproductive
HPO: Gonadal dysgenesis (HP:0000133)	other
HPO: Aseptic necrosis (HP:0010885)	skeletal
HPO: Poor speech (HP:0002465)	other
HPO: Vaginal fistula (HP:0004320)	reproductive
HPO: Abnormal EKG (HP:0003115)	cardiovascular
HPO: EMG: neuropathic changes (HP:0003445)	nervous
HPO: Abnormality of serum amino acid levels (HP:0003112)	other
HPO: Axonal loss (HP:0003447)	nervous
HPO: Amblyopia (HP:0000646)	nervous
HPO: Sclerocornea (HP:0000647)	nervous
HPO: Gaze-evoked nystagmus (HP:0000640)	nervous
HPO: Dysmetric saccades (HP:0000641)	nervous
HPO: Optic atrophy (HP:0000648)	nervous
HPO: Abnormality of vision evoked potentials (HP:0000649)	nervous
HPO: Squamous cell carcinoma (HP:0002860)	integumentary
HPO: Melanoma (HP:0002861)	integumentary
HPO: Bladder carcinoma (HP:0002862)	urinary
HPO: Myelodysplasia (HP:0002863)	hematologic
HPO: Villous atrophy (HP:0011473)	digestive
HPO: Abnormality of small intestinal villus morphology (HP:0011472)	digestive
HPO: Hypoplastic iliac wings (HP:0002866)	skeletal
HPO: Infantile onset (HP:0003593)	other
HPO: Flared iliac wings (HP:0002869)	skeletal
HPO: Abnormality of the heme biosynthetic pathway (HP:0010472)	other
HPO: Mask-like facies (HP:0000298)	other
HPO: Spastic tetraplegia (HP:0002510)	nervous
HPO: Abnormal hemoglobin (HP:0011902)	hematologic
HPO: Increased intracranial pressure (HP:0002516)	nervous
HPO: Abnormality of the periventricular white matter (HP:0002518)	nervous
HPO: Hypoplasia of the ulna (HP:0003022)	skeletal
HPO: Metaphyseal cupping (HP:0003021)	skeletal
HPO: Mesomelia (HP:0003027)	skeletal
HPO: Metaphyseal irregularity (HP:0003025)	skeletal
HPO: Dialeptic seizures (HP:0011146)	nervous
HPO: Ependymoma (HP:0002888)	nervous
HPO: Developmental regression (HP:0002376)	behavior
HPO: Hyperventilation (HP:0002883)	respiratory
HPO: Respiratory difficulties (HP:0002880)	respiratory
HPO: Hepatoblastoma (HP:0002884)	digestive
HPO: Medulloblastoma (HP:0002885)	nervous
HPO: Rhabdomyolysis (HP:0003201)	other
HPO: Cerebellar dysplasia (HP:0007033)	nervous
HPO: Intracellular accumulation of autofluorescent lipopigment storage material (HP:0003204)	other
HPO: Abnormality of urine glucose concentration (HP:0011016)	urinary
HPO: Midface retrusion (HP:0011800)	skeletal
HPO: Abnormality of polysaccharide metabolism (HP:0011012)	metabolic
HPO: Increased mean platelet volume (HP:0011877)	hematologic
HPO: Abnormal platelet volume (HP:0011876)	hematologic
HPO: Intention tremor (HP:0002080)	nervous
HPO: Occipital encephalocele (HP:0002085)	nervous
HPO: Pulmonary hypoplasia (HP:0002089)	respiratory
HPO: Bifid uvula (HP:0000193)	other
HPO: Progressive disorder (HP:0003676)	other
HPO: Neoplasm of head and neck (HP:0012288)	integumentary
HPO: Meckel diverticulum (HP:0002245)	digestive
HPO: Abnormality of the duodenum (HP:0002246)	digestive
HPO: Hepatomegaly (HP:0002240)	digestive
HPO: Hepatitis (HP:0012115)	immune
HPO: Abnormal albumin level (HP:0012116)	other
HPO: Hypoplasia of the pons (HP:0012110)	nervous
HPO: Increased serum lactate (HP:0002151)	other
HPO: Neonatal respiratory distress (HP:0002643)	respiratory
HPO: Wormian bones (HP:0002645)	skeletal
HPO: Aortic dissection (HP:0002647)	cardiovascular
HPO: Joint hemorrhage (HP:0005261)	skeletal
HPO: Homocystinuria (HP:0002156)	other
HPO: Spontaneous abortion (HP:0005268)	reproductive
HPO: Wide intermamillary distance (HP:0006610)	reproductive
HPO: Lower limb amyotrophy (HP:0007210)	nervous
HPO: Aganglionic megacolon (HP:0002251)	digestive
HPO: Muscular hypotonia of the trunk (HP:0008936)	skeletal muscle
HPO: Non-midline cleft lip (HP:0100335)	other
HPO: Splenomegaly (HP:0001744)	lymphatic
HPO: Asplenia (HP:0001746)	lymphatic
HPO: Popliteal pterygium (HP:0009756)	other
HPO: Partial duplication of the phalanx of hand (HP:0009999)	skeletal
HPO: Aplasia/Hypoplasia involving the carpal bones (HP:0006502)	skeletal
HPO: Abnormality involving the epiphyses of the lower limbs (HP:0006500)	skeletal
HPO: Aplasia/hypoplasia of the humerus (HP:0006507)	skeletal
HPO: Cerebral palsy (HP:0100021)	nervous
HPO: Breast carcinoma (HP:0003002)	reproductive
HPO: Limited hip movement (HP:0008800)	other
HPO: Abnormality of the pons (HP:0007361)	nervous
HPO: Aplasia/Hypoplasia of the brainstem (HP:0007362)	nervous
HPO: Arteriovenous malformation (HP:0100026)	cardiovascular
HPO: Male pseudohermaphroditism (HP:0000037)	reproductive
HPO: Rib fusion (HP:0000902)	skeletal
HPO: Abnormality of magnesium homeostasis (HP:0004921)	other
HPO: Skin ulcer (HP:0200042)	integumentary
HPO: Verrucae (HP:0200043)	integumentary
HPO: Epidermoid cyst (HP:0200040)	integumentary
HPO: Absent speech (HP:0001344)	other
HPO: Abnormality of the pericardium (HP:0001697)	cardiovascular
HPO: Primary atrial arrhythmia (HP:0001692)	cardiovascular
HPO: Cerebral hemorrhage (HP:0001342)	nervous
HPO: Facial diplegia (HP:0001349)	other
HPO: Sudden death (HP:0001699)	other
HPO: Deformed tarsal bones (HP:0008119)	skeletal
HPO: Insulin-resistant diabetes mellitus (HP:0000831)	metabolic
HPO: Glucose intolerance (HP:0000833)	metabolic
